,District,Democratic Party Vote Share,Republican Party Vote Share
39,California-26,0.5113677977811123,0.4886322022188877
40,California-27,0.6407433420520486,0.35925665794795136
41,California-28,0.6972288640759007,0.3027711359240993
42,California-29,0.7786967115499511,0.22130328845004887
43,California-3,0.48025723217948846,0.5197427678205115
44,California-30,0.6645437312012183,0.33545626879878165
45,California-31,0.5313805992728929,0.46861940072710706
46,California-32,0.6404281505863743,0.35957184941362574
47,California-33,0.6182284186520013,0.3817715813479987
48,California-34,0.8524086523420277,0.14759134765797233
49,California-35,0.7206823990204846,0.2793176009795154
50,California-36,0.43821856788609237,0.5617814321139076
51,California-37,0.8412925525455491,0.15870744745445087
52,California-38,0.6565791486744678,0.34342085132553224
53,California-39,0.45066856353587026,0.5493314364641297
54,California-4,0.3109739369830772,0.6890260630169228
55,California-40,0.8386361495013538,0.1613638504986462
56,California-41,0.5454510654651613,0.4545489345348387
57,California-42,0.3412291641942393,0.6587708358057607
58,California-43,0.7793666814096257,0.22063331859037427
59,California-44,0.8335427575596369,0.16645724244036308
60,California-45,0.40328857376551547,0.5967114262344846
61,California-46,0.6156152536895512,0.38438474631044883
62,California-47,0.5693327936845239,0.43066720631547606
63,California-48,0.3833347044639892,0.6166652955360108
64,California-49,0.4004516208014209,0.5995483791985792
65,California-5,0.6857681743155204,0.3142318256844796
66,California-50,0.31948005254183015,0.6805199474581698
67,California-51,0.7100462056459418,0.2899537943540582
68,California-52,0.4667273601676616,0.5332726398323384
69,California-53,0.5779065750774808,0.4220934249225192
70,California-6,0.687360424352774,0.312639575647226
71,California-7,0.4970656965798531,0.5029343034201469
72,California-8,0.35247816156308814,0.6475218384369119
73,California-9,0.569529468805913,0.43047053119408696
74,Colorado-1,0.7524353197179227,0.24756468028207734
75,Colorado-2,0.5762306284014501,0.4237693715985499
76,Colorado-3,0.4440989898012996,0.5559010101987004
77,Colorado-4,0.34831139226942065,0.6516886077305794
78,Colorado-5,0.3148204753006862,0.6851795246993138
79,Colorado-6,0.5183294331513797,0.4816705668486203
80,Colorado-7,0.5812578876199886,0.41874211238001136
81,Connecticut-1,0.6534601477004026,0.3465398522995974
82,Connecticut-2,0.5154244574848685,0.48457554251513146
83,Connecticut-3,0.647693716139964,0.35230628386003604
84,Connecticut-4,0.5116002276739801,0.48839977232601994
85,Connecticut-5,0.5018496640103339,0.49815033598966607
86,Delaware-1,0.545530396140909,0.45446960385909096
87,District of Columbia-1,0.8013111189469713,0.19868888105302873
88,Florida-1,0.2611701619976584,0.7388298380023416
89,Florida-10,0.6127802063211611,0.38721979367883885
90,Florida-11,0.3061570202701936,0.6938429797298065
91,Florida-12,0.39245211875681874,0.6075478812431813
92,Florida-13,0.4864309154255803,0.5135690845744196
93,Florida-14,0.5769841411522689,0.4230158588477311
94,Florida-15,0.4410005283039634,0.5589994716960366
95,Florida-16,0.3967705972364385,0.6032294027635615
96,Florida-17,0.3546071972583773,0.6453928027416227
97,Florida-18,0.4187932955706435,0.5812067044293565
98,Florida-19,0.3041099357163742,0.6958900642836259
99,Florida-2,0.390534468320209,0.609465531679791
100,Florida-20,0.8356821608937723,0.16431783910622766
101,Florida-21,0.6170927829188046,0.38290721708119535
102,Florida-22,0.5811173407873713,0.4188826592126287
103,Florida-23,0.6464855184568773,0.3535144815431227
104,Florida-24,0.85527808833201,0.14472191166798998
105,Florida-25,0.3776279238930796,0.6223720761069205
106,Florida-26,0.5905813172138279,0.4094186827861721
107,Florida-27,0.5752956312353967,0.42470436876460327
108,Florida-3,0.43715827359981224,0.5628417264001877
109,Florida-4,0.31617119897631424,0.6838288010236857
110,Florida-5,0.7178440645339937,0.28215593546600626
111,Florida-6,0.40494005613040984,0.5950599438695902
112,Florida-7,0.46538205052295495,0.5346179494770451
113,Florida-8,0.3566398045315562,0.6433601954684438
114,Florida-9,0.5415727234840036,0.45842727651599635
115,Georgia-1,0.44681827643126687,0.5531817235687331
116,Georgia-10,0.3591183393291152,0.6408816606708848
117,Georgia-11,0.3356120030684356,0.6643879969315645
118,Georgia-12,0.4916522109965669,0.5083477890034331
119,Georgia-13,0.7577407440597467,0.24225925594025333
120,Georgia-14,0.207749359972556,0.792250640027444
121,Georgia-2,0.638157883521611,0.36184211647838904
122,Georgia-3,0.3164770501619809,0.6835229498380191
123,Georgia-4,0.7804206886136703,0.2195793113863297
124,Georgia-5,0.840079221026185,0.15992077897381496
