,District,Democratic Party Vote Share,Republican Party Vote Share
66,California-50,0.30653473721113345,0.6934652627888666
67,California-51,0.7010812229403148,0.29891877705968517
68,California-52,0.4611646181834364,0.5388353818165637
69,California-53,0.5845551755918258,0.4154448244081742
70,California-6,0.7017254647716651,0.2982745352283349
71,California-7,0.48672128010375804,0.513278719896242
72,California-8,0.3472516831494898,0.6527483168505102
73,California-9,0.5617574851821006,0.43824251481789944
74,Colorado-1,0.7313687763952809,0.26863122360471914
75,Colorado-2,0.5547029186434415,0.44529708135655854
76,Colorado-3,0.4286045674521471,0.571395432547853
77,Colorado-4,0.3374097578992126,0.6625902421007874
78,Colorado-5,0.3016994660203061,0.6983005339796939
79,Colorado-6,0.5084918887850547,0.4915081112149453
80,Colorado-7,0.5584628250869031,0.44153717491309685
81,Connecticut-1,0.6429612411825046,0.35703875881749536
82,Connecticut-2,0.4978720027114165,0.5021279972885835
83,Connecticut-3,0.6344930628632437,0.3655069371367563
84,Connecticut-4,0.4923611084540314,0.5076388915459686
85,Connecticut-5,0.48740245081503214,0.5125975491849679
86,Delaware-1,0.536544838477661,0.463455161522339
87,District of Columbia-1,0.805702059479915,0.19429794052008498
88,Florida-1,0.2520720018028309,0.7479279981971692
89,Florida-10,0.6031520951650354,0.39684790483496457
90,Florida-11,0.2947748794894982,0.7052251205105018
91,Florida-12,0.36546358276825647,0.6345364172317436
92,Florida-13,0.4783239105967995,0.5216760894032004
93,Florida-14,0.5621997257235186,0.4378002742764814
94,Florida-15,0.4255918255018975,0.5744081744981024
95,Florida-16,0.3719730551315972,0.6280269448684028
96,Florida-17,0.3358577938680034,0.6641422061319966
97,Florida-18,0.4115374693500316,0.5884625306499685
98,Florida-19,0.28665400530688767,0.7133459946931123
99,Florida-2,0.3708331532272448,0.6291668467727551
100,Florida-20,0.8341590214989719,0.16584097850102808
101,Florida-21,0.6071559388300398,0.3928440611699602
102,Florida-22,0.5694968446880219,0.43050315531197814
103,Florida-23,0.6392513716574645,0.3607486283425355
104,Florida-24,0.8586258965125915,0.14137410348740853
105,Florida-25,0.3783031517460352,0.6216968482539649
106,Florida-26,0.5770947643749024,0.42290523562509763
107,Florida-27,0.5786295815621256,0.42137041843787437
108,Florida-3,0.43035925330813,0.56964074669187
109,Florida-4,0.29020916950037706,0.709790830499623
110,Florida-5,0.6961832141299685,0.30381678587003147
111,Florida-6,0.39018092438144786,0.6098190756185522
112,Florida-7,0.46634662493060475,0.5336533750693953
113,Florida-8,0.34911618424978996,0.65088381575021
114,Florida-9,0.5372452351154662,0.4627547648845338
115,Georgia-1,0.4298324482335106,0.5701675517664895
116,Georgia-10,0.36969430861290786,0.6303056913870921
117,Georgia-11,0.30225825743133944,0.6977417425686605
118,Georgia-12,0.4761102673066735,0.5238897326933265
119,Georgia-13,0.7527839135650827,0.24721608643491733
120,Georgia-14,0.21109260529822083,0.7889073947017792
121,Georgia-2,0.6405838433524172,0.35941615664758275
122,Georgia-3,0.31592701262007356,0.6840729873799265
123,Georgia-4,0.7872632368462699,0.21273676315373014
124,Georgia-5,0.8406098643542249,0.1593901356457751
125,Georgia-6,0.37830351207722224,0.6216964879227778
126,Georgia-7,0.4172974014827662,0.5827025985172338
127,Georgia-8,0.40315305958654213,0.5968469404134579
128,Georgia-9,0.18343575265063608,0.816564247349364
129,Hawaii-1,0.5815436668179971,0.4184563331820029
130,Hawaii-2,0.6030196047154763,0.39698039528452367
131,Idaho-1,0.2880090357947357,0.7119909642052643
132,Idaho-2,0.36973135938295665,0.6302686406170434
133,Illinois-1,0.7846780309684177,0.2153219690315823
134,Illinois-10,0.5305408097658505,0.4694591902341495
135,Illinois-11,0.5201969878686606,0.47980301213133936
136,Illinois-12,0.48041252558400444,0.5195874744159956
137,Illinois-13,0.42447363985442915,0.5755263601455709
138,Illinois-14,0.2877606863927561,0.7122393136072439
139,Illinois-15,0.2570161421780187,0.7429838578219813
140,Illinois-16,0.29357531578257434,0.7064246842174257
141,Illinois-17,0.45866191064943845,0.5413380893505615
142,Illinois-18,0.23697486533366527,0.7630251346663347
143,Illinois-2,0.807382680208399,0.19261731979160102
144,Illinois-3,0.672583748262689,0.32741625173731104
145,Illinois-4,0.8554272693151416,0.14457273068485843
146,Illinois-5,0.7360478181457109,0.26395218185428915
147,Illinois-6,0.31916750617102757,0.6808324938289725
148,Illinois-7,0.8881334794186905,0.11186652058130953
149,Illinois-8,0.5659679930725714,0.4340320069274286
150,Illinois-9,0.7025186708412532,0.2974813291587468
151,Indiana-1,0.697430733835267,0.302569266164733
152,Indiana-2,0.4124290268595008,0.5875709731404992
153,Indiana-3,0.28451765107468147,0.7154823489253186
154,Indiana-4,0.282046934971844,0.717953065028156
155,Indiana-5,0.3405406227262488,0.6594593772737511
156,Indiana-6,0.32109727268992533,0.6789027273100747
157,Indiana-7,0.6609618587499678,0.3390381412500322
158,Indiana-8,0.4697076732355956,0.5302923267644044
159,Indiana-9,0.40641186693124876,0.5935881330687512
160,Iowa-1,0.47493771688680686,0.5250622831131931
161,Iowa-2,0.4931473093660795,0.5068526906339206
162,Iowa-3,0.439572362572499,0.560427637427501
163,Iowa-4,0.34310106577385274,0.6568989342261473
164,Kansas-1,0.2635154134817522,0.7364845865182478
165,Kansas-2,0.40699689070688044,0.5930031092931196
166,Kansas-3,0.43160740863940106,0.5683925913605989
167,Kansas-4,0.3415543656123183,0.6584456343876817
168,Kentucky-1,0.45339594752059553,0.5466040524794045
169,Kentucky-2,0.4381821134925562,0.5618178865074438
170,Kentucky-3,0.5580977907888699,0.4419022092111301
171,Kentucky-4,0.3672416362000949,0.632758363799905
172,Kentucky-5,0.35493802663885954,0.6450619733611405
173,Kentucky-6,0.5120930469785848,0.4879069530214152
174,Louisiana-1,0.3316081007220581,0.6683918992779418
175,Louisiana-2,0.8117606496064997,0.18823935039350026
176,Louisiana-3,0.40835979784887966,0.5916402021511203
177,Louisiana-4,0.4411343244357263,0.5588656755642737
178,Louisiana-5,0.4618710782588067,0.5381289217411933
