,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
208,Michigan-5,0.653948289558806,0.346051710441194,1
209,Michigan-6,0.41129757455589927,0.5887024254441007,0
210,Michigan-7,0.38951958769736394,0.610480412302636,0
211,Michigan-8,0.4284910786065855,0.5715089213934146,0
212,Michigan-9,0.6273765079995846,0.37262349200041545,1
213,Minnesota-1,0.45505793831178976,0.5449420616882102,0
214,Minnesota-2,0.45391596964146114,0.5460840303585388,0
215,Minnesota-3,0.4991336490618219,0.5008663509381781,0
216,Minnesota-4,0.6702195088270132,0.3297804911729868,1
217,Minnesota-5,0.806685057645522,0.193314942354478,1
218,Minnesota-6,0.3666300121847658,0.6333699878152341,0
219,Minnesota-7,0.39698609802442725,0.6030139019755727,0
220,Minnesota-8,0.5014889763500958,0.4985110236499042,1
221,Mississippi-1,0.5005456168061048,0.49945438319389523,1
222,Mississippi-2,0.8273457148761829,0.1726542851238171,1
223,Mississippi-3,0.499955640393747,0.5000443596062529,0
224,Mississippi-4,0.3825383812146485,0.6174616187853514,0
225,Missouri-1,0.9087425036197561,0.09125749638024394,1
226,Missouri-2,0.44727309355514844,0.5527269064448516,0
227,Missouri-3,0.29754577247211766,0.7024542275278823,0
228,Missouri-4,0.33317754062110133,0.6668224593788987,0
229,Missouri-5,0.7114203133945327,0.2885796866054673,1
230,Missouri-6,0.331394962656636,0.6686050373433641,0
231,Missouri-7,0.21347188507019987,0.7865281149298001,0
232,Missouri-8,0.27111052935067653,0.7288894706493234,0
233,Montana-1,0.40735460160549875,0.5926453983945013,0
234,Nebraska-1,0.3910194850996487,0.6089805149003513,0
235,Nebraska-2,0.4996112129088861,0.5003887870911139,0
236,Nebraska-3,0.27142767034706367,0.7285723296529363,0
237,Nevada-1,0.681934834811284,0.31806516518871597,1
238,Nevada-2,0.34818234597650827,0.6518176540234917,0
239,Nevada-3,0.4333320176395211,0.5666679823604789,0
240,Nevada-4,0.5527776532685627,0.44722234673143735,1
241,New Hampshire-1,0.4423196463164066,0.5576803536835935,0
242,New Hampshire-2,0.4666490828662736,0.5333509171337264,0
243,New Jersey-1,0.6964623667942437,0.30353763320575633,1
244,New Jersey-10,0.9208090483680093,0.07919095163199075,1
245,New Jersey-11,0.39703738051066134,0.6029626194893387,0
246,New Jersey-12,0.7093916386642293,0.2906083613357707,1
247,New Jersey-2,0.48180146620114794,0.5181985337988521,0
248,New Jersey-3,0.44176570428162076,0.5582342957183792,0
249,New Jersey-4,0.3805711476912049,0.6194288523087951,0
250,New Jersey-5,0.41174695691846214,0.5882530430815378,0
251,New Jersey-6,0.6607308836381429,0.3392691163618571,1
252,New Jersey-7,0.3724328035505682,0.6275671964494318,0
253,New Jersey-8,0.8509796533220015,0.14902034667799846,1
254,New Jersey-9,0.7233318951405012,0.2766681048594988,1
