,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
36,California-23,0.35416832335860676,0.6458316766413932,0
37,California-24,0.534763605065076,0.46523639493492397,1
38,California-25,0.46041529756882305,0.539584702431177,0
39,California-26,0.5368249012111072,0.46317509878889285,1
40,California-27,0.6586287703816361,0.34137122961836386,1
41,California-28,0.7274226585425355,0.2725773414574645,1
42,California-29,0.790866281924725,0.20913371807527503,1
43,California-3,0.5274568478663044,0.4725431521336956,1
44,California-30,0.7016737167287374,0.29832628327126265,1
45,California-31,0.5617153087787654,0.4382846912212346,1
46,California-32,0.6607280152965825,0.33927198470341746,1
47,California-33,0.6544877826756944,0.3455122173243056,1
48,California-34,0.8534759652850753,0.1465240347149247,1
49,California-35,0.7049166915690459,0.2950833084309541,1
50,California-36,0.4672520324142636,0.5327479675857364,0
51,California-37,0.8584156920304186,0.14158430796958144,1
52,California-38,0.6823624268213604,0.3176375731786396,1
53,California-39,0.476326443984382,0.523673556015618,0
54,California-4,0.34216399286172217,0.6578360071382778,0
55,California-40,0.8181722594184468,0.18182774058155315,1
56,California-41,0.5740899282467838,0.42591007175321616,1
57,California-42,0.3536389626113599,0.6463610373886401,0
58,California-43,0.7893599689926548,0.21064003100734519,1
59,California-44,0.8404016802041229,0.15959831979587713,1
60,California-45,0.4214824298065343,0.5785175701934657,0
61,California-46,0.6210657996083476,0.3789342003916524,1
62,California-47,0.6149658102555878,0.38503418974441217,1
63,California-48,0.4012242702865022,0.5987757297134978,0
64,California-49,0.4282964158743202,0.5717035841256798,0
65,California-5,0.7181183467652543,0.2818816532347457,1
66,California-50,0.3465959069345708,0.6534040930654292,0
67,California-51,0.7157971796051619,0.28420282039483813,1
68,California-52,0.5115744125587899,0.4884255874412101,1
69,California-53,0.6239615984887407,0.37603840151125933,1
70,California-6,0.7305072993972176,0.2694927006027824,1
71,California-7,0.5322013780652894,0.46779862193471056,1
72,California-8,0.3820621036894274,0.6179378963105726,0
73,California-9,0.5941538627316078,0.40584613726839225,1
74,Colorado-1,0.7667150383123912,0.23328496168760882,1
75,Colorado-2,0.6151657687472607,0.3848342312527393,1
76,Colorado-3,0.4826367014333283,0.5173632985666716,0
77,Colorado-4,0.3871594184518872,0.6128405815481128,0
78,Colorado-5,0.34782971452049827,0.6521702854795017,0
79,Colorado-6,0.5580398127530032,0.4419601872469968,1
80,Colorado-7,0.6094435263388802,0.3905564736611198,1
81,Connecticut-1,0.6850684288650671,0.31493157113493286,1
82,Connecticut-2,0.5583399977457506,0.4416600022542494,1
83,Connecticut-3,0.6787836407032433,0.32121635929675674,1
84,Connecticut-4,0.5402402302569733,0.4597597697430267,1
85,Connecticut-5,0.5410769130200821,0.4589230869799179,1
86,Delaware-1,0.5812787302006024,0.4187212697993976,1
87,District of Columbia-1,0.8190892701979594,0.1809107298020406,1
88,Florida-1,0.2867209737958809,0.7132790262041191,0
89,Florida-10,0.6312958418324767,0.36870415816752333,1
90,Florida-11,0.3425919747283158,0.6574080252716842,0
91,Florida-12,0.418439053803264,0.5815609461967359,0
92,Florida-13,0.5292982796573051,0.47070172034269486,1
93,Florida-14,0.598225431021048,0.40177456897895203,1
94,Florida-15,0.4690164563598683,0.5309835436401318,0
95,Florida-16,0.4226466694387948,0.5773533305612052,0
96,Florida-17,0.3850526583803824,0.6149473416196176,0
97,Florida-18,0.46036719489767636,0.5396328051023236,0
98,Florida-19,0.32890634726112394,0.671093652738876,0
99,Florida-2,0.4215127650803089,0.5784872349196911,0
100,Florida-20,0.8429971636531934,0.15700283634680656,1
101,Florida-21,0.6525340600355672,0.34746593996443276,1
102,Florida-22,0.6158831526260459,0.38411684737395413,1
103,Florida-23,0.6746306064299618,0.32536939357003825,1
104,Florida-24,0.8636065614517263,0.13639343854827368,1
105,Florida-25,0.40081937895559294,0.5991806210444071,0
106,Florida-26,0.6025134968491658,0.3974865031508342,1
107,Florida-27,0.6091148518297962,0.3908851481702038,1
108,Florida-3,0.47767024211916653,0.5223297578808335,0
109,Florida-4,0.33334937936514625,0.6666506206348537,0
110,Florida-5,0.7184034041612323,0.2815965958387677,1
111,Florida-6,0.44040207656632757,0.5595979234336724,0
112,Florida-7,0.511065485097002,0.488934514902998,1
113,Florida-8,0.3975332966260898,0.6024667033739102,0
114,Florida-9,0.5705489419721794,0.4294510580278206,1
115,Georgia-1,0.4608725565097497,0.5391274434902503,0
116,Georgia-10,0.4013319765789277,0.5986680234210723,0
117,Georgia-11,0.3355804700820209,0.6644195299179791,0
118,Georgia-12,0.5036424664878728,0.4963575335121272,1
119,Georgia-13,0.7653523643717521,0.23464763562824786,1
120,Georgia-14,0.23551737995835872,0.7644826200416412,0
121,Georgia-2,0.6605007964571931,0.33949920354280694,1
122,Georgia-3,0.3445780631883155,0.6554219368116845,0
123,Georgia-4,0.79866045579792,0.20133954420208,1
124,Georgia-5,0.8477677811707507,0.1522322188292493,1
125,Georgia-6,0.4189274487060926,0.5810725512939074,0
126,Georgia-7,0.44773228724521186,0.5522677127547881,0
127,Georgia-8,0.43295622024465946,0.5670437797553405,0
128,Georgia-9,0.20350842867746805,0.796491571322532,0
129,Hawaii-1,0.6014644739525951,0.39853552604740494,1
130,Hawaii-2,0.6329482116291766,0.3670517883708234,1
131,Idaho-1,0.3387235787962773,0.6612764212037228,0
132,Idaho-2,0.428574701251873,0.571425298748127,0
133,Illinois-1,0.7965148898042707,0.20348511019572935,1
