,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
139,Illinois-15,0.2669476674212745,0.7330523325787255,0
140,Illinois-16,0.33557877976382466,0.6644212202361753,0
141,Illinois-17,0.5101385600607222,0.4898614399392778,1
142,Illinois-18,0.2484156183000286,0.7515843816999714,0
143,Illinois-2,0.8302416288713594,0.16975837112864056,1
144,Illinois-3,0.7801668031922203,0.21983319680777968,1
145,Illinois-4,0.8979084305523902,0.10209156944760978,1
146,Illinois-5,0.7964336947683577,0.20356630523164232,1
147,Illinois-6,0.36811861102434573,0.6318813889756543,0
148,Illinois-7,0.8964019022487275,0.10359809775127249,1
149,Illinois-8,0.681848572125057,0.318151427874943,1
150,Illinois-9,0.7458120134535705,0.2541879865464295,1
151,Indiana-1,0.7529452813860612,0.2470547186139388,1
152,Indiana-2,0.4625996957729255,0.5374003042270745,0
153,Indiana-3,0.3220985741729593,0.6779014258270407,0
154,Indiana-4,0.31405635925632086,0.6859436407436792,0
155,Indiana-5,0.3658426351697615,0.6341573648302385,0
156,Indiana-6,0.33658807801940127,0.6634119219805987,0
157,Indiana-7,0.6978304169521642,0.3021695830478358,1
158,Indiana-8,0.4835630638401099,0.5164369361598902,0
159,Indiana-9,0.42439759878797084,0.5756024012120291,0
160,Iowa-1,0.49389182728934666,0.5061081727106533,0
161,Iowa-2,0.5209911277125452,0.4790088722874548,1
162,Iowa-3,0.475160919488553,0.524839080511447,0
163,Iowa-4,0.37406303905163446,0.6259369609483656,0
164,Kansas-1,0.3271278545458333,0.6728721454541666,0
165,Kansas-2,0.4419043425665901,0.5580956574334099,0
166,Kansas-3,0.4899173866297714,0.5100826133702285,0
167,Kansas-4,0.3967637905518583,0.6032362094481417,0
168,Kentucky-1,0.46579781777362256,0.5342021822263774,0
169,Kentucky-2,0.4519548756479354,0.5480451243520645,0
170,Kentucky-3,0.5752529590478798,0.42474704095212024,1
171,Kentucky-4,0.3805747210880153,0.6194252789119847,0
172,Kentucky-5,0.3635425036503818,0.6364574963496181,0
173,Kentucky-6,0.5296798679696314,0.4703201320303686,1
174,Louisiana-1,0.35956213493103373,0.6404378650689663,0
175,Louisiana-2,0.821082053766644,0.178917946233356,1
176,Louisiana-3,0.4220208740750074,0.5779791259249927,0
177,Louisiana-4,0.4524720763898336,0.5475279236101664,0
178,Louisiana-5,0.47154895909838745,0.5284510409016125,0
179,Louisiana-6,0.41917251884481876,0.5808274811551812,0
180,Maine-1,0.5412932350713184,0.45870676492868157,1
181,Maine-2,0.45459585233687944,0.5454041476631206,0
182,Maryland-1,0.3638472765408107,0.6361527234591893,0
183,Maryland-2,0.6828498496957099,0.31715015030429006,1
184,Maryland-3,0.6764849819441376,0.32351501805586236,1
185,Maryland-4,0.7911906158360379,0.2088093841639621,1
186,Maryland-5,0.6788996665020595,0.32110033349794054,1
187,Maryland-6,0.6027580943724502,0.3972419056275498,1
188,Maryland-7,0.7593898310878564,0.2406101689121436,1
189,Maryland-8,0.670234886950213,0.32976511304978695,1
190,Massachusetts-1,0.7036004932113552,0.2963995067886448,1
191,Massachusetts-2,0.6348383001913889,0.36516169980861113,1
192,Massachusetts-3,0.6636753611741179,0.33632463882588215,1
193,Massachusetts-4,0.6082573376824442,0.39174266231755583,1
194,Massachusetts-5,0.744777524796897,0.25522247520310304,1
195,Massachusetts-6,0.6066466513862014,0.39335334861379856,1
196,Massachusetts-7,0.8885603330788127,0.11143966692118734,1
197,Massachusetts-8,0.6897852002113146,0.3102147997886854,1
198,Massachusetts-9,0.5601156401759702,0.43988435982402985,1
199,Michigan-1,0.3352232163705973,0.6647767836294027,0
200,Michigan-10,0.30428270923290857,0.6957172907670914,0
201,Michigan-11,0.4053165052058831,0.5946834947941169,0
202,Michigan-12,0.718553849300993,0.281446150699007,1
203,Michigan-13,0.8565819011980976,0.14341809880190237,1
204,Michigan-14,0.8163704806080899,0.18362951939191008,1
205,Michigan-2,0.3411686680070668,0.6588313319929332,0
206,Michigan-3,0.38895706914950123,0.6110429308504988,0
207,Michigan-4,0.2996831319091474,0.7003168680908526,0
208,Michigan-5,0.6065489078345848,0.3934510921654152,1
209,Michigan-6,0.39444411706024385,0.6055558829397562,0
210,Michigan-7,0.39832804399535676,0.6016719560046433,0
211,Michigan-8,0.4331934025666968,0.5668065974333032,0
212,Michigan-9,0.6035404766122261,0.3964595233877739,1
213,Minnesota-1,0.4711125693720987,0.5288874306279012,0
214,Minnesota-2,0.4672055838918904,0.5327944161081096,0
215,Minnesota-3,0.4991800016969945,0.5008199983030055,0
216,Minnesota-4,0.6718961959339538,0.3281038040660462,1
217,Minnesota-5,0.7986820130992678,0.20131798690073222,1
218,Minnesota-6,0.371763789821682,0.628236210178318,0
219,Minnesota-7,0.41007891845139205,0.589921081548608,0
220,Minnesota-8,0.5058040306662578,0.4941959693337422,1
221,Mississippi-1,0.39481370735359106,0.6051862926464089,0
222,Mississippi-2,0.7270931627765632,0.2729068372234368,1
223,Mississippi-3,0.37036216838351954,0.6296378316164805,0
224,Mississippi-4,0.28489304507851365,0.7151069549214863,0
225,Missouri-1,0.8763534775594557,0.1236465224405443,1
226,Missouri-2,0.4508827334967605,0.5491172665032396,0
227,Missouri-3,0.2996380374390729,0.7003619625609271,0
228,Missouri-4,0.3310310026127174,0.6689689973872825,0
229,Missouri-5,0.6781495365286728,0.3218504634713272,1
230,Missouri-6,0.3388549446503638,0.6611450553496362,0
231,Missouri-7,0.22435494436844186,0.7756450556315582,0
232,Missouri-8,0.2594195285155013,0.7405804714844987,0
233,Montana-1,0.419464407222217,0.580535592777783,0
234,Nebraska-1,0.41810726226155964,0.5818927377384404,0
235,Nebraska-2,0.5085425557686555,0.4914574442313445,1
236,Nebraska-3,0.3179807493581403,0.6820192506418596,0
